symbol,code,name,current,percent,change,high,low,high52w,low52w,marketcapital,amount,pettm,volume
SZ300152,300152,科融环境,2.9,3.2,0.09,2.99,2.79,7.15,2.6,2.06712E9,4.761196876E7,,16546738
SH603989,603989,艾华集团,23.22,3.2,0.72,23.58,22.6,33.09,19.35,9.0558E9,5.5113575E7,33.8,2371553
SZ300492,300492,山鼎设计,22.99,3.19,0.71,23.3,22.0,41.2,20.55,1.912768E9,4.759674105E7,78.32,2090131
SZ000661,000661,长春高新,235.2,3.19,7.27,238.59,227.04,257.79,138.6,4.0010404728E10,4.827768503E8,43.21,2061177
SH600123,600123,兰花科创,7.11,3.19,0.22,7.23,6.95,10.23,6.23,8.122464E9,1.13569121E8,9.03,15958039
SH000820,000820,煤炭指数,2211.82,3.19,68.37,2230.17,2191.85,3393.95,2121.23,0.0,4.919029829E9,,621658613
SH600276,600276,恒瑞医药,65.62,3.18,2.02,66.29,64.05,83.29,43.98,2.4164187350338E11,1.302079666E9,68.01,19910139
SZ002501,002501,利源精制,3.9,3.17,0.12,3.92,3.76,11.53,3.57,4.737858762E9,9.501407309E7,39.14,24542368
SZ000797,000797,中国武夷,4.88,3.17,0.15,5.08,4.78,10.94,4.69,6.39164185888E9,2.886328018E7,23.23,5855907
SZ000796,000796,凯撒旅游,8.46,3.17,0.26,8.55,8.21,18.1,8.03,6.79338218268E9,2.773067718E7,41.7,3298910
SZ000628,000628,高新发展,9.12,3.17,0.28,9.19,8.84,11.08,6.1,2.8406976E9,4.051616563E7,136.17,4477669
SZ000035,000035,中国天楹,4.24,3.16,0.13,4.27,4.16,6.05,3.95,5.73045083352E9,2.68864763E7,24.14,6387752
SZ300083,300083,劲胜智能,3.94,3.14,0.12,4.04,3.79,9.6,3.61,5.64084113792E9,6.181389739E7,30.64,15747100
SH600419,600419,天润乳业,14.45,3.14,0.44,14.46,14.01,33.18,12.81,2.9928033401E9,2.6080272E7,27.47,1822600
SZ000502,000502,绿景控股,6.62,3.12,0.2,6.78,6.41,13.38,6.06,1.22350579834E9,1.954229162E7,,2937761
SZ000010,000010,美丽生态,4.96,3.12,0.15,4.96,4.77,7.7,3.07,4.06647937648E9,2.864397628E7,,5878364
SZ000019,000019,深深宝A,8.98,3.1,0.27,9.45,8.7,14.5,8.56,4.46110508094E9,9.628724238E7,,10695407
SH600580,600580,卧龙电气,7.66,3.1,0.23,7.67,7.45,9.38,6.78,9.90751742876E9,7.5523682E7,12.19,9934351
SH600299,600299,安迪苏,11.99,3.1,0.36,11.99,11.58,14.1,9.76,3.215599626327E10,2.7130933E7,26.03,2306602
SZ000860,000860,顺鑫农业,42.99,3.09,1.29,44.84,42.0,47.9,16.45,2.452966375608E10,7.5996576159E8,36.34,17535422
SH600515,600515,海航基础,6.0,3.09,0.18,6.02,5.83,15.99,5.69,2.344555476E10,6.0009998E7,13.3,10084391
SZ300595,300595,欧普康视,36.49,3.08,1.09,36.96,35.4,46.49,24.97,8.16518689344E9,5.550919985E7,46.43,1523242
SH603813,603813,原尚股份,21.81,3.07,0.65,22.8,20.71,55.4,14.46,1.9530855E9,3.9598798E7,35.82,1802617
